broker,test,avg_latency_ms,p95_latency_ms,avg_throughput_msg_s,avg_cpu_percent,avg_mem_mb
emqx,fanin_qos1,31.236597632972394,90.54156311314584,18738.1282,33.652006578947365,367.1631578947368
emqx,fanout_qos1,2.129910612003728,4.763346640344807,19999.907199999998,28.939816666666665,349.8
emqx,p2p_qos0,1.9956407998275025,9.80117324507501,19988.5282,26.95689569536424,382.60596026490066
emqx,p2p_qos1,8.906628453850676,23.019364330399746,12994.789,30.84323675496689,361.34238410596026
emqx,p2p_qos2,19.630396805052634,43.83409855184048,8007.6432,31.621928807947015,382.06821192052985
mosquitto,fanin_qos1,5.895179057291724,9.77146026876208,18837.1954,9.65791095890411,265.8501369863014
mosquitto,fanout_qos1,1.6659236516799536,4.6301820636868545,20000.0,6.107500000000001,1.8133378378378375
mosquitto,p2p_qos0,1.1242469681424776,3.3432751256646425,19999.5038,7.14871644295302,7.124449664429531
mosquitto,p2p_qos1,6.467518663117554,9.809632804967173,15381.020400000001,10.430410958904108,2.8794931506849317
mosquitto,p2p_qos2,32.73924982897731,48.80684302443241,7084.1214,9.085945945945944,2.819054054054054
nanomq,fanin_qos1,32.94354377190672,82.48643181818183,13314.5636,16.411677852348994,39.718399999999995
nanomq,fanout_qos1,1.8096412091553455,4.666975205125634,19999.7406,11.19028716216216,2.784492537313433
nanomq,p2p_qos0,1.3729860498114952,4.399585897022044,20000.004399999998,13.645805369127517,4.078268456375839
nanomq,p2p_qos1,11.48455189826202,24.152510384612754,17254.6112,18.926284246575342,4.505462686567164
nanomq,p2p_qos2,19.903290000140387,24.328076583147876,9823.390599999999,19.035236486486486,4.5152388059701485
rmqtt,fanin_qos1,7.6023456495910695,22.38694025602877,19999.5924,15.579408783783784,21.392432432432432
rmqtt,fanout_qos1,1.7878327074420346,4.7386639097938055,20000.0,9.743057432432431,22.100945945945945
rmqtt,p2p_qos0,1.0935591789351486,2.6794173465112268,19999.9236,13.822000000000001,22.62
rmqtt,p2p_qos1,2.291612389343934,4.860001123052291,19999.655799999997,19.51543624161074,24.222483221476512
rmqtt,p2p_qos2,10.20537926123542,23.3700300786088,13758.9102,20.45207214765101,24.617919463087247
rumqttd,fanin_qos1,3.5395896430596467,6.859495573064743,20004.2066,11.656157718120806,280.37071140939594
rumqttd,fanout_qos1,1.8561038777960868,4.650469449009575,20000.0,8.109093959731544,11.401744966442953
rumqttd,p2p_qos0,2.257322773215194,4.845870867584214,19999.8836,11.08079391891892,286.38471621621625
rumqttd,p2p_qos1,7.730945046679411,9.75437012757276,12829.395999999999,13.171874999999998,191.0061891891892
rumqttd,p2p_qos2,28.30946235813398,48.64502561431394,6941.309399999999,11.983860544217688,112.05171428571428
